CustomerID,Country,State,Retired,HasPartner,HasDependents,Education,Gender,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod,Multilines,OnlineBackup,InternetServiceCategory,StreamingMovies,OnlineSecurity,DeviceProtection,StreamingTelevision,HasPhoneService,TechnicalSupport,Churn
Cust1201,India,Maharashtra,0,2,2,Masters,Male,478.5,5-1-2012,5920,10-Jan-11,No,One year,Electronic check,No,No,Fiber optic,Yes,No,Yes,Yes,1,No,No
Cust1202,India,Maharashtra,0,2,2,ProfessionalQalification,Male,103.25,5-1-2012,103.25,6-Dec-11,No,Month-to-month,Electronic check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1203,India,Maharashtra,0,2,2,ProfessionalQalification,Male,399.75,5-1-2012,5217,10-Jan-11,Yes,Month-to-month,Bank transfer (automatic),No,No,Fiber optic,Yes,No,No,No,1,No,No
Cust1204,India,Maharashtra,0,2,1,ProfessionalQalification,Male,324.75,5-1-2012,22757.5,6-Apr-06,No,One year,Bank transfer (automatic),Yes,Yes,DSL,No,Yes,No,No,1,Yes,No
Cust1205,India,Maharashtra,0,2,2,ProfessionalQalification,Female,372.5,5-1-2012,372.5,6-Dec-11,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1206,India,Maharashtra,0,2,2,Highschool or below,Male,99.5,5-1-2012,6775.5,7-Mar-06,Yes,Two year,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1207,India,Maharashtra,0,2,2,Graduation,Male,91.25,5-1-2012,2673.5,17-Sep-09,No,One year,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1208,India,Maharashtra,0,2,2,ProfessionalQalification,Female,399.25,5-1-2012,23930.5,2-Mar-07,No,One year,Credit card (automatic),Yes,Yes,DSL,Yes,Yes,Yes,No,1,Yes,No
Cust1209,India,Maharashtra,0,2,2,Highschool or below,Female,399.0,5-1-2012,5006,10-Jan-11,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,No,Yes,No,No,1,No,No
Cust1210,India,Maharashtra,0,1,1,ProfessionalQalification,Female,177.0,5-1-2012,7062,23-Aug-08,No,One year,Credit card (automatic),No phone service,No,DSL,No,Yes,Yes,No,0,No,No
Cust1211,India,Maharashtra,0,2,2,ProfessionalQalification,Male,120.0,5-1-2012,1132.75,11-Mar-11,Yes,Month-to-month,Electronic check,Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1212,India,Maharashtra,0,1,1,Graduation,Female,99.0,5-1-2012,1364.75,12-Oct-10,No,Month-to-month,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1213,India,Maharashtra,0,2,2,ProfessionalQalification,Female,397.0,5-1-2012,1223.25,7-Oct-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,Yes,1,No,Yes
Cust1214,India,Maharashtra,0,2,1,Graduation,Female,255.0,5-1-2012,1434,8-Aug-11,Yes,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,Yes,No
Cust1215,India,Maharashtra,0,2,2,ProfessionalQalification,Female,251.75,5-1-2012,6387.5,16-Nov-09,Yes,Month-to-month,Credit card (automatic),No phone service,No,DSL,Yes,No,Yes,Yes,0,No,No
Cust1216,India,Maharashtra,0,1,1,Masters,Male,371.5,5-1-2012,20091.75,1-May-07,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,No,No,1,No,No
Cust1217,India,Maharashtra,0,2,2,Masters,Male,355.25,5-1-2012,10840.75,19-Jun-09,Yes,Month-to-month,Electronic check,Yes,Yes,DSL,No,No,No,Yes,1,Yes,No
